group,year,month,day,time,title,detail,url,type,color,rowNumber,End Year,end_month,end_day,end_time,display_date,image_url,image_credit
映画,1927,,,,ジャズ・シンガー(90),,,,,37,,,,,,,
映画,1930,,,,西部戦線異状なし(54),,,,,38,,,,,,,
映画,1931,,,,街の灯(76),,,,,39,,,,,,,
映画,1931,,,,フランケンシュタイン(87),,,,,40,,,,,,,
映画,1933,,,,キングコング(43),,,,,41,,,,,,,
映画,1933,,,,我輩はカモである(85),,,,,42,,,,,,,
映画,1934,,,,或る夜の出来事(35),,,,,43,,,,,,,
映画,1935,,,,戦艦バウンティ号の叛乱(86),,,,,44,,,,,,,
映画,1936,,,,モダン・タイムス(81),,,,,45,,,,,,,
映画,1937,,,,白雪姫(49),,,,,46,,,,,,,
映画,1938,,,,赤ちゃん教育(97),,,,,47,,,,,,,
映画,1939,,,,風と共に去りぬ(4),,,,,48,,,,,,,
映画,1939,,,,オズの魔法使(6),,,,,49,,,,,,,
映画,1939,,,,スミス都へ行く(29),,,,,50,,,,,,,
映画,1939,,,,駅馬車(63),,,,,51,,,,,,,
映画,1939,,,,嵐が丘(73),,,,,52,,,,,,,
映画,1940,,,,怒りの葡萄(21),,,,,53,,,,,,,
映画,1940,,,,フィラデルフィア物語(51),,,,,54,,,,,,,
映画,1940,,,,ファンタジア(58),,,,,55,,,,,,,
映画,1941,,,,市民ケーン(1),,,,,56,,,,,,,
映画,1941,,,,マルタの鷹(23),,,,,57,,,,,,,
映画,1942,,,,カサブランカ(2),,,,,58,,,,,,,
映画,1942,,,,ヤンキー・ドゥードゥル・ダンディ(100),,,,,59,,,,,,,
映画,1944,,,,深夜の告白(38),,,,,60,,,,,,,
映画,1946,,,,素晴らしき哉、人生!(11),,,,,61,,,,,,,
映画,1946,,,,我等の生涯の最良の年(37),,,,,62,,,,,,,
映画,1948,,,,黄金(30),,,,,63,,,,,,,
映画,1949,,,,第三の男(57),,,,,64,,,,,,,
映画,1950,,,,サンセット大通り(12),,,,,65,,,,,,,
映画,1950,,,,イヴの総て(16),,,,,66,,,,,,,
映画,1951,,,,アフリカの女王(17),,,,,67,,,,,,,
映画,1951,,,,欲望という名の電車(45),,,,,68,,,,,,,
映画,1951,,,,巴里のアメリカ人(68),,,,,69,,,,,,,
映画,1951,,,,陽のあたる場所(92),,,,,70,,,,,,,
映画,1952,,,,雨に唄えば(10),,,,,71,,,,,,,
映画,1952,,,,真昼の決闘(33),,,,,72,,,,,,,
映画,1953,,,,地上より永遠に(52),,,,,73,,,,,,,
映画,1953,,,,シェーン(69),,,,,74,,,,,,,
映画,1954,,,,波止場(8),,,,,75,,,,,,,
映画,1954,,,,裏窓(42),,,,,76,,,,,,,
映画,1955,,,,理由なき反抗(59),,,,,77,,,,,,,
映画,1956,,,,ジャイアンツ(82),,,,,78,,,,,,,
映画,1956,,,,捜索者(96),,,,,79,,,,,,,
映画,1957,,,,戦場にかける橋(13),,,,,80,,,,,,,
映画,1958,,,,めまい(61),,,,,81,,,,,,,
映画,1959,,,,お熱いのがお好き(14),,,,,82,,,,,,,
映画,1959,,,,北北西に進路を取れ(40),,,,,83,,,,,,,
映画,1959,,,,ベン・ハー(72),,,,,84,,,,,,,
映画,1960,,,,サイコ(18),,,,,85,,,,,,,
映画,1960,,,,アパートの鍵貸します(93),,,,,86,,,,,,,
映画,1961,,,,ウエスト・サイド物語(41),,,,,87,,,,,,,
映画,1962,,,,アラビアのロレンス(5),,,,,88,,,,,,,
映画,1962,,,,アラバマ物語(34),,,,,89,,,,,,,
映画,1962,,,,影なき狙撃者(67),,,,,90,,,,,,,
映画,1964,,,,博士の異常な愛情 または私は如何にして心配するのを止めて水爆を愛するようになったか(26),,,,,91,,,,,,,
映画,1964,,,,マイ・フェア・レディ(91),,,,,92,,,,,,,
映画,1965,,,,ドクトル・ジバゴ(39),,,,,93,,,,,,,
映画,1965,,,,サウンド・オブ・ミュージック(55),,,,,94,,,,,,,
映画,1967,,,,卒業(7),,,,,95,,,,,,,
映画,1967,,,,俺たちに明日はない(27),,,,,96,,,,,,,
映画,1967,,,,招かれざる客(99),,,,,97,,,,,,,
映画,1968,,,,2001年宇宙の旅(22),,,,,98,,,,,,,
映画,1969,,,,真夜中のカーボーイ(36),,,,,99,,,,,,,
映画,1969,,,,明日に向って撃て!(50),,,,,100,,,,,,,
映画,1969,,,,ワイルドバンチ(80),,,,,101,,,,,,,
映画,1969,,,,イージー・ライダー(88),,,,,102,,,,,,,
