Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
pittore,1528,,,,1588,,,,,Paolo Veronese,italia,,,,,
pittore,1518,,,,1594,,,,,Tintoretto,italia,,,,,
pittore,1431,,,,1506,,,,,Andrea Mantegna,italia,,,,,
pittore,1240,,,,1302,,,,,Cimabue,italia,,,,,
pittore,1267,,,,1337,,,,,Giotto di Bondone,italia,,,,,
scultore,1245,,,,1302,,,,,Arnolfo di Cambio,italia,,,,,
pittore,1250,,,,1330,,,,,Pietro Cavallini,italia,,,,,
pittore,1255,,,,1319,,,,,Duccio di Buoninsegna,italia,,,,,
pittore,1284,,,,1344,,,,,Simone Martini,italia,,,,,
pittore,1290,,,,1348,,,,,Ambrogio Lorenzatti,italia,,,,,
pittore,1280,,,,1348,,,,,Pietro Lorenzetti,italia,,,,,
pittore,1330,,,,1390,,,,,Altichiero da Zevio,italia,,,,,
scrittore,1313,,,,1375,,,,,Boccaccio,italia,,,,,
pittore,1483,,,,1520,,,,,Raffaello Sanzio,italia,,,,,
scultore,1377,,,,1446,,,,,Filippo Brunelleschi,italia,,,,,
pittore,1401,,,,1428,,,,,Masaccio,italia,,,,,
anatomista,1514,,,,1564,,,,,Andrea Vesalio,italia,,,,,
pittore,1836,,,,1912,,,,,Lawrence Alma-Tadema,regno unito,,,,,
