Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
ミステリ,1986,,,,,,,,,コンピュータの熱い罠（岡嶋二人）,,,"https://images-na.ssl-images-amazon.com/images/I/510FB4ESGKL._SX334_BO1,204,203,200_.jpg",,box,
ミステリ,1998,,,,,,,,,誘拐症候群（貫井徳郎）,,,"https://images-na.ssl-images-amazon.com/images/I/413HJ628B7L._SX321_BO1,204,203,200_.jpg",,box,
サスペンス,2012,,,,,,,,,予告犯（筒井哲也）,,,https://images-fe.ssl-images-amazon.com/images/I/51i6FyNcThL.jpg,,box,
